                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                   3.48,                 3.6415,                 3.5508,                0.00055,                 0.0625,                0.00031,                  3e-05,                 3.7995,                 4.3509,                 3.8241,               0.020769,              0.0067695,              0.0067695
                     87,                 3.1838,                 4.3132,                 3.5377,                0.00055,                 0.0625,                0.00031,                  3e-05,                 3.7995,                 4.3509,                 3.8241,               0.019827,              0.0068267,              0.0068267
                     88,                 3.2271,                 3.8459,                 3.4774,                0.00027,                0.03125,                0.00016,                  2e-05,                 3.7713,                 4.4177,                 3.8135,               0.018883,              0.0068834,              0.0068834
                     89,                 2.8978,                 3.5332,                 3.3224,                0.00027,                0.03125,                0.00016,                  2e-05,                 3.7713,                 4.4177,                 3.8135,                0.01794,              0.0069396,              0.0069396
                     90,                 3.1452,                  3.739,                 3.4962,                0.00044,                0.03125,                0.00074,                0.00018,                 3.6953,                 6.4412,                 3.7796,               0.016995,              0.0069953,              0.0069953
                     91,                 3.0337,                 4.2128,                 3.2945,                0.00044,                0.03125,                0.00074,                0.00018,                 3.6953,                 6.4412,                 3.7796,                0.01605,              0.0070505,              0.0070505
                     92,                 2.9699,                 3.5971,                 3.4112,                0.00052,                0.03125,                0.00099,                0.00022,                 3.6156,                 5.5885,                 3.7479,               0.015105,              0.0071052,              0.0071052
                     93,                 3.2255,                 3.6603,                 3.4915,                0.00052,                0.03125,                0.00099,                0.00022,                 3.6156,                 5.5885,                 3.7479,               0.014159,              0.0071594,              0.0071594
                     94,                 2.9024,                 4.1819,                 3.4961,                0.00132,                0.03125,                0.00136,                0.00046,                 3.3552,                 8.7494,                 3.7255,               0.013213,              0.0072131,              0.0072131
                     95,                 3.0457,                 4.0493,                 3.4115,                0.00132,                0.03125,                0.00136,                0.00046,                 3.3552,                 8.7494,                 3.7255,               0.012266,              0.0072663,              0.0072663
                     96,                 3.2446,                 3.7809,                 3.5043,                0.00146,                   0.25,                0.00196,                0.00066,                  3.315,                  4.304,                 3.6543,               0.011319,               0.007319,               0.007319
                     97,                 2.9356,                 3.3424,                 3.4343,                0.00146,                   0.25,                0.00196,                0.00066,                  3.315,                  4.304,                 3.6543,               0.010371,              0.0073713,              0.0073713
                     98,                 2.7184,                  3.516,                 3.5148,                0.50296,                0.03125,                0.00217,                0.00084,                 2.8179,                 21.129,                 3.6809,               0.009423,               0.007423,               0.007423
                     99,                 2.8177,                  3.523,                 3.3126,                0.50296,                0.03125,                0.00217,                0.00084,                 2.8179,                 21.129,                 3.6809,              0.0084743,              0.0074743,              0.0074743
                    100,                 2.7436,                   3.35,                  3.407,                0.50617,                 0.1875,                0.00459,                0.00141,                 2.6307,                 52.447,                 3.5942,               0.007525,               0.007525,               0.007525
                    101,                 2.9699,                 3.6408,                 3.3173,                0.50617,                 0.1875,                0.00459,                0.00141,                 2.6307,                 52.447,                 3.5942,               0.007525,               0.007525,               0.007525
                    102,                 2.8826,                 3.3905,                 3.3986,                0.57626,                0.09375,                0.07477,                0.01919,                 2.5576,                 32.416,                 3.4683,              0.0075003,              0.0075003,              0.0075003
                    103,                 2.5846,                 3.8884,                 3.1732,                0.57626,                0.09375,                0.07477,                0.01919,                 2.5576,                 32.416,                 3.4683,              0.0074755,              0.0074755,              0.0074755
                    104,                 3.0547,                 3.8803,                 3.2847,                0.51452,                 0.0625,                0.01644,                0.00487,                 2.4928,                 67.245,                 3.4316,              0.0074507,              0.0074507,              0.0074507
                    105,                 3.0812,                 3.4734,                  3.299,                0.51452,                 0.0625,                0.01644,                0.00487,                 2.4928,                 67.245,                 3.4316,               0.007426,               0.007426,               0.007426
                    106,                 2.7527,                 3.4785,                 3.2841,                0.62462,                 0.1875,                0.12013,                0.03157,                 2.5396,                 29.613,                  3.365,              0.0074013,              0.0074013,              0.0074013
                    107,                 3.1091,                 3.3758,                 3.2661,                0.62462,                 0.1875,                0.12013,                0.03157,                 2.5396,                 29.613,                  3.365,              0.0073765,              0.0073765,              0.0073765
                    108,                  2.862,                 3.1543,                 3.0529,                0.57015,                 0.0625,                0.04179,                  0.015,                 3.2763,                 11.495,                 3.4486,              0.0073517,              0.0073517,              0.0073517
                    109,                  2.759,                 3.0505,                 3.0168,                0.57015,                 0.0625,                0.04179,                  0.015,                 3.2763,                 11.495,                 3.4486,               0.007327,               0.007327,               0.007327
                    110,                 2.9252,                 3.3843,                 3.0003,                0.51656,                0.09375,                0.00828,                0.00209,                 3.2729,                 9.6769,                 3.4483,              0.0073023,              0.0073023,              0.0073023
                    111,                 2.6492,                 3.3089,                 3.0612,                0.51656,                0.09375,                0.00828,                0.00209,                 3.2729,                 9.6769,                 3.4483,              0.0072775,              0.0072775,              0.0072775
                    112,                 2.6021,                 3.2208,                 3.0124,                0.00111,                0.03125,                0.00117,                0.00039,                 3.8136,                 6.8144,                 4.0336,              0.0072527,              0.0072527,              0.0072527
                    113,                 2.8367,                 3.3777,                 3.1051,                0.00111,                0.03125,                0.00117,                0.00039,                 3.8136,                 6.8144,                 4.0336,               0.007228,               0.007228,               0.007228
                    114,                 2.8658,                 3.1475,                 2.9465,                0.50174,                 0.0625,                0.00065,                0.00018,                 4.0869,                 89.763,                 4.5975,              0.0072033,              0.0072033,              0.0072033
                    115,                  2.696,                 3.3756,                 2.9144,                0.50174,                 0.0625,                0.00065,                0.00018,                 4.0869,                 89.763,                 4.5975,              0.0071785,              0.0071785,              0.0071785
                    116,                 2.7811,                  2.946,                 3.0152,                0.50292,                 0.0625,                0.00188,                0.00058,                  3.927,                 65.995,                 4.8317,              0.0071538,              0.0071538,              0.0071538
                    117,                 2.5895,                  2.987,                 3.0427,                0.50292,                 0.0625,                0.00188,                0.00058,                  3.927,                 65.995,                 4.8317,               0.007129,               0.007129,               0.007129
                    118,                 2.7279,                 3.2407,                 3.0354,                0.00045,                0.09375,                0.00022,                  7e-05,                 3.7896,                    inf,                 5.5746,              0.0071042,              0.0071042,              0.0071042
                    119,                 2.4222,                 2.9229,                  2.886,                0.00045,                0.09375,                0.00022,                  7e-05,                 3.7896,                    inf,                 5.5746,              0.0070795,              0.0070795,              0.0070795
                    120,                 2.6612,                 3.0165,                  3.017,                0.00054,                0.09375,                0.00033,                  9e-05,                 3.7588,                 189.52,                 4.8808,              0.0070547,              0.0070547,              0.0070547
                    121,                 2.6878,                 3.0872,                 2.9546,                0.00054,                0.09375,                0.00033,                  9e-05,                 3.7588,                 189.52,                 4.8808,                0.00703,                0.00703,                0.00703
                    122,                  2.764,                 3.0225,                 3.0644,                0.50105,                 0.1875,                0.00055,                0.00016,                 3.9184,                 407.65,                 5.5616,              0.0070053,              0.0070053,              0.0070053
                    123,                 2.5264,                 2.6959,                  2.825,                0.50105,                 0.1875,                0.00055,                0.00016,                 3.9184,                 407.65,                 5.5616,              0.0069805,              0.0069805,              0.0069805
                    124,                 2.4898,                 2.7022,                 2.9452,                 0.0011,                0.15625,                0.00048,                0.00016,                 4.0969,                 440.78,                 6.5822,              0.0069558,              0.0069558,              0.0069558
                    125,                 2.6148,                 2.8206,                 2.7572,                 0.0011,                0.15625,                0.00048,                0.00016,                 4.0969,                 440.78,                 6.5822,               0.006931,               0.006931,               0.006931
                    126,                  2.477,                 2.9875,                 2.8759,                0.50075,                0.15625,                0.00036,                0.00013,                 4.1113,                    inf,                  7.759,              0.0069063,              0.0069063,              0.0069063
                    127,                 2.4521,                 2.8904,                 2.6923,                0.50075,                0.15625,                0.00036,                0.00013,                 4.1113,                    inf,                  7.759,              0.0068815,              0.0068815,              0.0068815
